N,P,K,temperature,humidity,ph,rainfall,season,district,soil_type,crop_price,water_availability,crop
139,51,179,34.19,21.88,7.41,284.03,Rabi,Dhanbad,Loamy,2100,Low,chickpea
74,22,109,31.82,29.74,5.71,90.75,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
96,23,119,39.77,53.55,6.1,161.85,Rabi,Jamshedpur,Sandy,1600,Medium,barley
9,97,184,37.39,57.58,7.05,43.79,Rabi,Dhanbad,Loamy,1900,Low,lentil
42,16,149,39.59,67.42,6.1,230.75,Rabi,Jamshedpur,Loamy,1500,Low,millet
2,30,71,20.55,72.28,6.73,212.55,Rabi,Dhanbad,Sandy,2000,Low,wheat
95,105,123,34.31,61.2,6.5,116.59,Kharif,Ranchi,Sandy,2200,Medium,groundnut
26,80,111,38.01,26.01,7.83,224.44,Kharif,Bokaro,Sandy,2200,Medium,groundnut
87,121,205,20.17,53.8,6.4,142.69,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
17,81,16,35.25,28.06,7.9,201.43,Rabi,Dhanbad,Loamy,1500,Low,millet
132,49,146,19.0,59.19,8.33,84.92,Kharif,Jamshedpur,Sandy,3500,Low,cotton
47,115,106,15.73,62.99,5.29,185.82,Kharif,Jamshedpur,Clayey,1700,High,maize
54,57,76,33.81,76.61,4.75,48.49,Kharif,Hazaribagh,Loamy,1800,Medium,rice
93,88,55,26.44,38.36,7.95,167.76,Kharif,Bokaro,Clayey,1700,High,maize
99,105,155,17.86,44.64,6.33,68.31,Rabi,Bokaro,Loamy,2100,Low,chickpea
21,39,85,17.95,41.38,5.23,214.16,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
107,40,152,24.59,33.0,7.04,214.16,Rabi,Dhanbad,Sandy,1600,Medium,barley
42,130,78,18.51,42.02,6.3,35.01,Rabi,Bokaro,Loamy,1900,Low,lentil
124,39,54,35.38,87.47,6.52,158.59,Kharif,Jamshedpur,Loamy,1800,Medium,rice
113,130,47,17.07,22.16,7.54,101.79,Rabi,Bokaro,Sandy,1600,Medium,barley
137,78,48,34.52,59.6,7.59,158.69,Kharif,Hazaribagh,Sandy,3500,Low,cotton
29,73,203,28.58,89.36,6.67,231.9,Rabi,Jamshedpur,Sandy,2000,Low,wheat
55,113,31,33.4,65.76,5.49,264.95,Rabi,Ranchi,Loamy,1900,Low,lentil
67,94,27,25.98,89.58,7.6,86.34,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
109,47,162,18.48,34.46,5.33,36.62,Rabi,Bokaro,Loamy,1500,Low,millet
71,142,48,23.09,69.28,5.66,94.86,Rabi,Hazaribagh,Loamy,1900,Low,lentil
34,110,20,39.81,80.69,5.01,262.5,Rabi,Dhanbad,Sandy,2000,Low,wheat
82,68,199,36.09,47.49,5.07,197.07,Kharif,Jamshedpur,Clayey,1700,High,maize
115,24,167,34.86,73.82,6.11,229.94,Rabi,Bokaro,Sandy,1600,Medium,barley
124,88,153,15.06,74.19,7.43,224.66,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
16,141,106,20.45,50.08,5.35,95.19,Rabi,Bokaro,Loamy,1500,Low,millet
140,38,149,36.31,75.18,8.08,233.43,Rabi,Ranchi,Loamy,1500,Low,millet
117,9,36,38.24,31.06,6.33,297.71,Rabi,Jamshedpur,Sandy,2000,Low,wheat
33,82,45,36.86,81.36,4.87,120.92,Kharif,Ranchi,Sandy,3500,Low,cotton
42,18,106,30.64,70.82,7.52,140.18,Rabi,Ranchi,Loamy,1500,Low,millet
0,59,127,16.95,61.56,6.58,144.62,Rabi,Ranchi,Sandy,2000,Low,wheat
30,113,182,18.3,24.96,6.03,224.61,Rabi,Ranchi,Loamy,1500,Low,millet
80,99,81,18.43,74.14,7.51,57.28,Rabi,Dhanbad,Sandy,2000,Low,wheat
135,7,161,31.25,50.81,7.39,195.86,Rabi,Dhanbad,Sandy,2000,Low,wheat
113,60,27,37.41,29.8,4.99,224.4,Rabi,Bokaro,Sandy,1600,Medium,barley
80,40,68,21.92,25.9,6.71,188.0,Rabi,Hazaribagh,Sandy,1600,Medium,barley
6,82,57,27.94,55.67,7.49,102.75,Zaid,Ranchi,Clayey,3000,High,sugarcane
126,103,33,21.03,64.67,4.78,268.84,Kharif,Ranchi,Sandy,3500,Low,cotton
81,38,104,36.52,59.79,5.96,211.22,Rabi,Jamshedpur,Loamy,1500,Low,millet
4,22,8,21.55,22.79,4.74,241.0,Rabi,Hazaribagh,Sandy,2000,Low,wheat
128,111,113,32.55,25.77,6.65,192.49,Zaid,Bokaro,Clayey,3000,High,sugarcane
79,25,135,38.02,88.2,5.12,111.49,Rabi,Hazaribagh,Sandy,2000,Low,wheat
79,116,191,38.84,36.7,5.48,278.9,Rabi,Ranchi,Sandy,2000,Low,wheat
14,84,175,33.54,71.85,4.98,218.21,Kharif,Ranchi,Sandy,2200,Medium,groundnut
127,93,138,27.93,77.58,5.54,124.12,Kharif,Bokaro,Clayey,1700,High,maize
7,90,114,21.8,24.47,7.35,181.46,Rabi,Ranchi,Sandy,2000,Low,wheat
116,135,97,16.39,80.16,5.17,64.05,Kharif,Ranchi,Sandy,2200,Medium,groundnut
29,63,194,27.72,23.08,7.95,88.47,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
98,43,50,38.28,80.02,6.71,275.91,Rabi,Jamshedpur,Loamy,1500,Low,millet
82,68,111,37.9,42.4,7.8,180.03,Kharif,Ranchi,Sandy,3500,Low,cotton
13,50,62,35.11,88.7,8.32,39.3,Rabi,Jamshedpur,Loamy,1900,Low,lentil
79,88,27,28.83,20.56,5.3,177.87,Zaid,Bokaro,Clayey,3000,High,sugarcane
62,123,99,29.79,54.54,7.59,74.72,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
38,6,109,15.6,57.91,7.04,214.17,Kharif,Ranchi,Sandy,3500,Low,cotton
0,101,193,33.18,27.28,6.62,86.69,Rabi,Jamshedpur,Loamy,1500,Low,millet
36,76,28,16.1,36.2,7.88,135.66,Kharif,Bokaro,Loamy,1800,Medium,rice
21,29,134,18.34,77.4,4.8,178.99,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
60,79,71,36.27,84.82,6.07,252.93,Kharif,Bokaro,Clayey,1700,High,maize
115,74,64,16.87,34.19,7.62,183.72,Rabi,Dhanbad,Loamy,1500,Low,millet
42,120,124,22.85,28.45,5.93,235.69,Rabi,Jamshedpur,Sandy,2000,Low,wheat
118,72,35,17.26,76.53,5.72,217.32,Zaid,Hazaribagh,Clayey,3000,High,sugarcane
55,88,42,17.28,37.38,5.92,163.77,Kharif,Bokaro,Loamy,1800,Medium,rice
44,12,108,36.37,58.92,6.7,46.52,Zaid,Ranchi,Clayey,3000,High,sugarcane
31,8,20,35.76,88.78,5.02,250.63,Kharif,Bokaro,Clayey,1700,High,maize
66,24,10,39.93,33.84,7.08,246.6,Rabi,Ranchi,Sandy,2000,Low,wheat
31,15,123,16.27,84.69,6.23,222.84,Rabi,Jamshedpur,Loamy,1500,Low,millet
97,114,49,23.85,83.58,5.6,144.88,Kharif,Dhanbad,Loamy,1800,Medium,rice
62,80,132,25.3,58.55,4.74,98.34,Kharif,Dhanbad,Loamy,1800,Medium,rice
51,139,68,30.77,76.15,7.68,297.03,Rabi,Bokaro,Sandy,1600,Medium,barley
139,129,93,37.82,55.17,6.05,70.35,Kharif,Bokaro,Sandy,2200,Medium,groundnut
56,12,204,22.02,76.61,6.39,120.08,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
40,30,68,31.42,38.66,7.77,276.83,Kharif,Ranchi,Sandy,3500,Low,cotton
99,95,49,19.4,61.48,7.72,215.34,Kharif,Hazaribagh,Sandy,3500,Low,cotton
90,41,149,38.71,78.57,7.74,291.71,Kharif,Hazaribagh,Loamy,1800,Medium,rice
44,130,14,17.26,36.28,5.38,167.41,Zaid,Ranchi,Clayey,3000,High,sugarcane
51,38,92,32.92,84.31,7.88,110.6,Rabi,Ranchi,Loamy,1500,Low,millet
36,33,139,36.52,87.24,5.99,283.74,Kharif,Jamshedpur,Clayey,1700,High,maize
25,91,82,23.07,88.31,7.43,142.32,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
44,96,62,31.64,77.01,6.01,225.52,Rabi,Bokaro,Loamy,1500,Low,millet
45,5,184,38.72,47.41,8.48,290.25,Kharif,Ranchi,Clayey,1700,High,maize
81,61,168,29.14,85.57,5.06,228.7,Kharif,Dhanbad,Clayey,1700,High,maize
81,47,167,37.13,26.21,7.34,198.95,Rabi,Bokaro,Loamy,1500,Low,millet
2,72,58,21.24,24.75,5.53,50.25,Kharif,Ranchi,Sandy,2200,Medium,groundnut
98,117,192,25.49,31.64,6.16,266.9,Kharif,Bokaro,Loamy,1800,Medium,rice
96,30,127,34.72,60.46,7.53,83.16,Rabi,Jamshedpur,Loamy,1900,Low,lentil
8,80,10,22.97,86.62,4.8,67.63,Rabi,Jamshedpur,Sandy,2000,Low,wheat
19,145,28,23.45,88.97,8.07,217.26,Kharif,Jamshedpur,Clayey,1700,High,maize
111,45,18,17.53,34.39,5.26,215.22,Kharif,Hazaribagh,Clayey,1700,High,maize
72,81,65,17.4,47.5,6.7,157.47,Zaid,Ranchi,Clayey,3000,High,sugarcane
0,114,27,22.36,66.34,6.9,75.91,Rabi,Ranchi,Loamy,1500,Low,millet
43,79,25,26.84,28.09,7.64,151.86,Kharif,Bokaro,Sandy,3500,Low,cotton
139,104,52,24.28,46.7,5.25,32.49,Rabi,Jamshedpur,Sandy,2000,Low,wheat
67,62,73,29.11,30.58,7.29,47.08,Kharif,Bokaro,Sandy,2200,Medium,groundnut
105,63,146,16.52,47.1,6.59,290.38,Rabi,Jamshedpur,Loamy,1900,Low,lentil
60,126,81,16.97,83.19,7.36,160.59,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
37,35,198,26.23,86.43,5.17,79.33,Rabi,Dhanbad,Loamy,2100,Low,chickpea
10,113,25,39.71,50.48,8.49,195.62,Kharif,Hazaribagh,Clayey,1700,High,maize
81,22,27,24.7,47.81,5.8,97.34,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
133,112,33,25.36,30.37,6.85,232.35,Kharif,Ranchi,Loamy,1800,Medium,rice
25,78,142,37.0,81.45,5.56,203.34,Rabi,Hazaribagh,Sandy,2000,Low,wheat
121,14,49,21.89,30.07,6.93,214.23,Rabi,Ranchi,Loamy,2100,Low,chickpea
84,65,17,33.64,84.46,8.09,25.67,Rabi,Bokaro,Sandy,1600,Medium,barley
71,130,183,32.12,88.07,5.41,104.13,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
68,111,159,31.14,33.16,5.35,250.71,Rabi,Jamshedpur,Loamy,1500,Low,millet
95,19,136,34.79,24.59,7.34,132.95,Rabi,Hazaribagh,Loamy,1900,Low,lentil
7,49,54,36.88,34.05,4.73,29.26,Rabi,Ranchi,Loamy,2100,Low,chickpea
50,75,99,35.59,55.36,7.04,54.68,Rabi,Ranchi,Loamy,1500,Low,millet
95,130,157,26.15,87.24,6.4,174.37,Kharif,Bokaro,Sandy,3500,Low,cotton
66,28,77,15.69,23.48,7.92,238.35,Kharif,Dhanbad,Clayey,1700,High,maize
57,57,73,31.29,55.93,7.96,290.8,Kharif,Ranchi,Sandy,3500,Low,cotton
33,49,158,35.02,35.66,6.93,284.04,Kharif,Bokaro,Sandy,2200,Medium,groundnut
96,94,122,21.3,52.67,7.21,250.81,Rabi,Jamshedpur,Sandy,1600,Medium,barley
26,6,135,39.99,87.65,7.86,177.21,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
72,81,180,17.7,24.47,8.45,199.37,Rabi,Bokaro,Loamy,2100,Low,chickpea
76,53,43,27.93,36.82,4.73,260.05,Zaid,Hazaribagh,Clayey,3000,High,sugarcane
81,40,189,15.64,54.82,5.68,273.94,Rabi,Jamshedpur,Sandy,1600,Medium,barley
9,53,92,33.16,35.57,6.64,239.77,Rabi,Bokaro,Sandy,1600,Medium,barley
76,48,173,36.91,32.68,4.89,55.82,Rabi,Bokaro,Loamy,1900,Low,lentil
46,90,172,17.23,44.87,7.48,105.98,Rabi,Bokaro,Loamy,1900,Low,lentil
66,80,123,36.28,52.94,7.97,183.4,Rabi,Hazaribagh,Loamy,1500,Low,millet
120,54,133,18.0,67.65,6.62,135.67,Rabi,Dhanbad,Sandy,2000,Low,wheat
51,92,109,39.68,82.5,8.45,60.1,Kharif,Dhanbad,Clayey,1700,High,maize
124,90,166,39.67,41.94,4.73,146.57,Rabi,Dhanbad,Sandy,2000,Low,wheat
40,130,200,34.49,29.06,6.23,140.23,Kharif,Jamshedpur,Clayey,1700,High,maize
98,6,14,28.34,71.15,8.3,269.76,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
4,6,165,33.34,35.84,8.01,107.39,Kharif,Ranchi,Sandy,3500,Low,cotton
128,83,47,16.63,23.2,8.29,147.66,Rabi,Hazaribagh,Sandy,1600,Medium,barley
134,91,116,37.2,89.68,5.87,272.39,Rabi,Bokaro,Loamy,2100,Low,chickpea
42,108,9,20.71,70.9,5.02,225.54,Kharif,Hazaribagh,Sandy,3500,Low,cotton
43,36,98,32.78,75.45,6.0,199.29,Rabi,Hazaribagh,Loamy,1900,Low,lentil
12,17,174,17.7,78.53,4.69,52.42,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
31,145,69,26.86,30.72,7.28,196.49,Rabi,Bokaro,Sandy,1600,Medium,barley
25,138,74,30.57,69.05,6.18,271.61,Rabi,Hazaribagh,Sandy,1600,Medium,barley
30,77,34,34.62,54.84,6.94,237.83,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
91,109,80,19.01,58.37,8.14,212.7,Kharif,Jamshedpur,Sandy,3500,Low,cotton
60,5,8,31.79,83.48,7.84,207.33,Rabi,Dhanbad,Loamy,1500,Low,millet
130,24,190,33.09,83.33,7.08,147.89,Rabi,Bokaro,Sandy,2000,Low,wheat
118,17,30,35.33,81.19,7.91,120.86,Zaid,Bokaro,Clayey,3000,High,sugarcane
29,29,199,37.26,20.68,5.05,201.22,Rabi,Bokaro,Sandy,1600,Medium,barley
112,73,192,17.32,77.05,5.23,132.22,Rabi,Jamshedpur,Loamy,1500,Low,millet
98,127,112,31.22,75.78,4.95,214.93,Zaid,Ranchi,Clayey,3000,High,sugarcane
26,111,156,27.07,59.83,6.25,191.17,Kharif,Bokaro,Clayey,1700,High,maize
7,38,128,38.01,27.91,6.15,32.87,Rabi,Bokaro,Loamy,2100,Low,chickpea
3,139,201,33.59,70.66,5.4,287.61,Rabi,Bokaro,Loamy,1500,Low,millet
133,29,115,31.54,37.4,5.88,209.36,Rabi,Jamshedpur,Loamy,1900,Low,lentil
13,7,169,38.36,55.39,6.38,158.83,Kharif,Dhanbad,Clayey,1700,High,maize
125,87,66,23.27,39.47,6.53,174.14,Rabi,Jamshedpur,Sandy,2000,Low,wheat
60,25,122,26.1,60.11,4.85,159.57,Rabi,Bokaro,Sandy,1600,Medium,barley
127,9,31,25.09,22.51,6.7,251.25,Rabi,Hazaribagh,Sandy,2000,Low,wheat
77,135,148,20.17,67.0,8.3,121.74,Rabi,Ranchi,Loamy,2100,Low,chickpea
116,89,148,34.19,62.0,7.37,121.72,Kharif,Jamshedpur,Sandy,3500,Low,cotton
24,61,5,23.53,78.09,8.36,101.76,Rabi,Hazaribagh,Sandy,2000,Low,wheat
27,16,47,27.31,77.53,7.47,134.58,Rabi,Bokaro,Loamy,1500,Low,millet
50,53,35,38.26,47.5,6.33,238.8,Rabi,Bokaro,Loamy,2100,Low,chickpea
106,16,167,35.94,61.22,7.59,146.14,Rabi,Hazaribagh,Sandy,2000,Low,wheat
34,132,6,28.26,23.4,8.24,254.87,Rabi,Jamshedpur,Loamy,1900,Low,lentil
45,49,192,35.38,27.25,7.13,189.73,Rabi,Bokaro,Loamy,1900,Low,lentil
98,112,160,37.9,73.37,5.59,289.81,Rabi,Bokaro,Loamy,1900,Low,lentil
34,40,110,30.06,82.05,6.55,256.06,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
55,56,58,30.6,40.34,5.88,208.26,Rabi,Dhanbad,Loamy,1500,Low,millet
138,87,186,17.89,44.66,6.42,179.78,Rabi,Jamshedpur,Loamy,1900,Low,lentil
73,113,8,28.07,21.77,5.08,207.67,Rabi,Dhanbad,Loamy,1900,Low,lentil
41,78,179,21.26,78.76,7.26,102.64,Zaid,Hazaribagh,Clayey,3000,High,sugarcane
91,120,31,30.4,67.29,6.75,82.81,Kharif,Hazaribagh,Loamy,1800,Medium,rice
60,135,205,34.92,68.73,7.27,33.15,Rabi,Jamshedpur,Sandy,1600,Medium,barley
106,85,146,16.35,72.06,5.31,263.28,Rabi,Jamshedpur,Sandy,1600,Medium,barley
94,144,194,30.08,74.33,8.36,102.37,Kharif,Dhanbad,Sandy,3500,Low,cotton
47,49,193,27.85,46.4,6.21,175.85,Rabi,Dhanbad,Sandy,2000,Low,wheat
65,6,89,26.66,85.62,4.66,280.02,Kharif,Hazaribagh,Clayey,1700,High,maize
77,130,151,28.75,25.1,7.33,167.11,Kharif,Dhanbad,Loamy,1800,Medium,rice
17,134,45,25.4,57.59,4.87,81.94,Rabi,Dhanbad,Loamy,1900,Low,lentil
84,97,80,20.46,72.69,6.62,299.06,Rabi,Ranchi,Loamy,1500,Low,millet
88,119,66,37.61,62.96,6.98,288.49,Rabi,Bokaro,Sandy,2000,Low,wheat
29,103,70,28.51,39.8,8.15,250.19,Rabi,Bokaro,Sandy,1600,Medium,barley
130,119,129,16.1,82.88,5.27,163.89,Rabi,Ranchi,Loamy,1900,Low,lentil
137,141,6,30.67,34.75,7.02,79.69,Kharif,Jamshedpur,Clayey,1700,High,maize
52,142,184,36.97,71.9,6.24,248.69,Rabi,Ranchi,Sandy,2000,Low,wheat
6,122,188,23.29,26.13,4.72,242.38,Kharif,Hazaribagh,Clayey,1700,High,maize
58,71,109,24.7,64.12,6.23,24.73,Rabi,Ranchi,Sandy,2000,Low,wheat
1,21,198,33.65,23.19,7.89,120.16,Rabi,Hazaribagh,Loamy,1900,Low,lentil
74,82,160,17.16,73.57,6.25,130.63,Rabi,Ranchi,Sandy,2000,Low,wheat
40,141,61,18.41,47.37,7.69,172.8,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
95,7,146,36.87,29.9,4.67,180.36,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
140,26,83,20.25,71.9,7.4,79.29,Rabi,Hazaribagh,Loamy,1900,Low,lentil
41,52,61,30.42,37.69,4.96,207.87,Kharif,Hazaribagh,Clayey,1700,High,maize
140,123,170,28.74,40.35,4.77,47.5,Kharif,Hazaribagh,Loamy,1800,Medium,rice
84,96,37,31.78,36.42,5.64,39.55,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
124,120,89,30.41,41.4,6.84,178.35,Rabi,Bokaro,Loamy,1500,Low,millet
109,48,6,22.83,75.0,7.35,199.43,Rabi,Bokaro,Loamy,1500,Low,millet
34,89,127,26.57,45.11,5.72,174.47,Rabi,Dhanbad,Loamy,1500,Low,millet
20,76,40,37.28,33.75,7.43,195.45,Rabi,Ranchi,Loamy,2100,Low,chickpea
129,12,153,29.47,73.84,5.35,30.26,Kharif,Bokaro,Loamy,1800,Medium,rice
138,125,172,34.38,45.61,5.39,236.2,Rabi,Bokaro,Loamy,1900,Low,lentil
118,133,135,17.26,45.47,4.54,86.89,Kharif,Hazaribagh,Clayey,1700,High,maize
131,40,119,18.98,59.65,6.76,264.21,Kharif,Dhanbad,Clayey,1700,High,maize
91,15,61,34.04,36.22,5.56,85.53,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
92,104,125,37.95,81.71,4.66,201.59,Rabi,Ranchi,Loamy,1900,Low,lentil
70,72,153,28.61,32.17,7.11,122.28,Rabi,Ranchi,Loamy,1900,Low,lentil
64,101,62,27.91,44.7,7.97,156.32,Rabi,Jamshedpur,Loamy,1900,Low,lentil
1,133,40,26.0,36.1,6.56,98.63,Rabi,Dhanbad,Loamy,2100,Low,chickpea
40,97,159,32.93,28.28,5.42,247.13,Kharif,Ranchi,Clayey,1700,High,maize
122,127,58,29.77,65.31,6.14,88.23,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
41,39,166,27.82,82.36,5.09,66.58,Rabi,Dhanbad,Loamy,2100,Low,chickpea
103,9,189,33.2,77.49,8.29,80.65,Rabi,Hazaribagh,Loamy,1900,Low,lentil
123,48,61,35.76,62.06,7.68,249.73,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
130,72,47,33.1,43.99,6.31,185.37,Rabi,Dhanbad,Loamy,2100,Low,chickpea
98,38,32,15.41,56.59,8.14,211.62,Rabi,Dhanbad,Sandy,1600,Medium,barley
24,50,126,37.54,61.99,8.01,168.8,Rabi,Ranchi,Loamy,2100,Low,chickpea
123,38,159,28.48,20.08,8.25,210.0,Rabi,Jamshedpur,Sandy,2000,Low,wheat
107,99,16,32.44,50.03,8.25,154.99,Rabi,Jamshedpur,Loamy,1900,Low,lentil
25,113,39,21.36,73.61,8.14,43.47,Rabi,Hazaribagh,Loamy,1500,Low,millet
104,70,53,15.14,72.06,4.53,166.31,Rabi,Hazaribagh,Loamy,1900,Low,lentil
96,57,181,35.11,48.62,4.93,139.3,Kharif,Hazaribagh,Loamy,1800,Medium,rice
66,142,113,29.12,62.83,8.47,131.29,Zaid,Dhanbad,Clayey,3000,High,sugarcane
123,50,99,28.98,53.86,8.45,181.74,Rabi,Jamshedpur,Sandy,1600,Medium,barley
30,63,119,34.58,86.45,4.9,162.34,Kharif,Bokaro,Clayey,1700,High,maize
13,46,104,39.11,20.37,4.86,60.69,Rabi,Hazaribagh,Loamy,1900,Low,lentil
22,21,72,20.54,25.6,4.65,127.61,Rabi,Jamshedpur,Sandy,1600,Medium,barley
133,78,187,39.09,24.02,7.59,69.08,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
2,56,173,38.27,56.27,5.28,239.51,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
59,48,177,15.9,36.75,4.5,64.08,Rabi,Bokaro,Loamy,1900,Low,lentil
90,106,108,29.65,56.24,7.45,39.21,Rabi,Ranchi,Sandy,1600,Medium,barley
72,94,93,39.08,39.36,6.93,74.47,Rabi,Jamshedpur,Loamy,1900,Low,lentil
1,71,49,25.18,27.45,4.79,102.39,Rabi,Ranchi,Loamy,2100,Low,chickpea
65,142,152,21.25,50.99,6.01,155.42,Rabi,Dhanbad,Loamy,1900,Low,lentil
117,122,155,36.55,53.74,5.53,127.15,Rabi,Dhanbad,Loamy,1500,Low,millet
80,110,95,27.91,20.68,7.83,89.51,Kharif,Ranchi,Sandy,3500,Low,cotton
87,24,146,38.28,53.36,5.91,270.41,Rabi,Bokaro,Sandy,1600,Medium,barley
48,132,193,19.99,71.48,7.99,77.9,Kharif,Dhanbad,Clayey,1700,High,maize
91,44,204,17.67,84.41,7.2,205.76,Kharif,Hazaribagh,Sandy,3500,Low,cotton
138,15,128,24.28,42.08,8.09,266.68,Kharif,Hazaribagh,Loamy,1800,Medium,rice
125,51,200,37.9,39.62,5.39,181.47,Zaid,Ranchi,Clayey,3000,High,sugarcane
108,127,143,15.81,44.31,7.94,237.25,Rabi,Jamshedpur,Loamy,1900,Low,lentil
132,122,85,32.23,20.83,5.34,182.68,Rabi,Bokaro,Sandy,2000,Low,wheat
66,52,145,21.57,38.86,8.33,116.07,Rabi,Dhanbad,Loamy,1500,Low,millet
108,58,112,32.52,46.06,7.92,98.3,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
33,63,30,33.02,76.29,6.72,259.77,Rabi,Dhanbad,Loamy,2100,Low,chickpea
38,126,7,19.42,54.97,8.48,257.83,Kharif,Hazaribagh,Clayey,1700,High,maize
80,129,81,21.27,80.1,4.69,47.71,Rabi,Dhanbad,Loamy,1900,Low,lentil
55,70,126,35.97,26.74,7.48,92.74,Kharif,Bokaro,Loamy,1800,Medium,rice
65,93,10,25.29,44.58,7.22,189.56,Rabi,Hazaribagh,Loamy,1900,Low,lentil
137,49,204,22.12,42.76,6.54,236.93,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
97,78,123,30.79,30.14,5.17,246.16,Rabi,Bokaro,Sandy,2000,Low,wheat
103,23,25,19.05,35.98,5.77,101.58,Rabi,Bokaro,Sandy,1600,Medium,barley
101,74,118,34.52,85.71,7.49,165.86,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
42,52,10,18.13,36.42,5.51,228.29,Rabi,Ranchi,Sandy,1600,Medium,barley
42,106,31,17.39,85.58,6.39,35.07,Kharif,Jamshedpur,Sandy,3500,Low,cotton
21,31,72,30.45,25.9,8.23,129.16,Rabi,Dhanbad,Loamy,1900,Low,lentil
72,118,165,18.16,56.87,5.18,29.84,Kharif,Bokaro,Sandy,3500,Low,cotton
121,124,143,38.37,58.4,5.04,285.58,Rabi,Hazaribagh,Loamy,1500,Low,millet
116,116,139,30.99,57.36,8.14,154.86,Kharif,Dhanbad,Clayey,1700,High,maize
113,83,98,25.31,30.9,4.54,166.53,Rabi,Dhanbad,Sandy,2000,Low,wheat
73,125,141,15.21,84.55,8.29,153.58,Rabi,Ranchi,Loamy,1500,Low,millet
74,64,6,28.71,33.2,8.03,142.39,Rabi,Dhanbad,Sandy,1600,Medium,barley
99,101,61,21.57,49.56,5.46,234.07,Kharif,Hazaribagh,Clayey,1700,High,maize
72,141,73,25.32,79.74,5.23,101.09,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
115,74,184,30.57,33.15,4.58,33.9,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
47,31,77,21.73,70.06,7.41,85.19,Kharif,Dhanbad,Loamy,1800,Medium,rice
126,60,92,25.51,75.0,6.49,123.99,Kharif,Ranchi,Loamy,1800,Medium,rice
20,42,19,21.66,47.47,6.67,70.85,Rabi,Bokaro,Loamy,1500,Low,millet
3,36,201,32.87,46.94,8.4,89.21,Rabi,Ranchi,Sandy,1600,Medium,barley
117,29,138,31.65,34.59,6.06,289.14,Kharif,Bokaro,Sandy,3500,Low,cotton
10,145,138,18.05,53.69,5.7,120.92,Kharif,Ranchi,Clayey,1700,High,maize
28,65,167,25.85,21.05,7.68,183.72,Kharif,Jamshedpur,Sandy,3500,Low,cotton
2,15,153,34.59,53.27,6.88,123.99,Kharif,Ranchi,Sandy,3500,Low,cotton
40,132,28,32.15,43.69,8.38,232.68,Kharif,Ranchi,Sandy,3500,Low,cotton
91,44,184,28.41,27.52,6.45,108.69,Kharif,Hazaribagh,Loamy,1800,Medium,rice
112,54,10,32.23,45.07,5.04,271.63,Rabi,Jamshedpur,Loamy,1500,Low,millet
75,143,183,27.25,59.67,6.67,110.63,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
41,22,140,18.88,40.7,5.55,122.79,Zaid,Ranchi,Clayey,3000,High,sugarcane
97,52,9,30.49,45.49,6.98,109.79,Rabi,Ranchi,Loamy,1900,Low,lentil
99,53,139,32.08,73.6,5.12,99.28,Rabi,Jamshedpur,Loamy,1900,Low,lentil
28,29,138,31.47,23.06,8.25,70.02,Rabi,Ranchi,Loamy,1500,Low,millet
27,129,54,17.47,59.97,7.85,204.22,Kharif,Hazaribagh,Sandy,3500,Low,cotton
65,17,98,20.52,70.25,4.55,277.89,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
119,20,97,28.95,85.68,6.16,123.34,Rabi,Ranchi,Sandy,2000,Low,wheat
68,140,15,33.36,78.41,4.81,80.45,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
25,64,141,24.63,33.52,7.13,179.61,Rabi,Dhanbad,Sandy,2000,Low,wheat
106,32,201,30.97,45.06,6.33,206.27,Rabi,Ranchi,Loamy,1900,Low,lentil
