N,P,K,temperature,humidity,ph,rainfall,season,district,soil_type,crop_price,water_availability,crop,fertilizer_used,soil_moisture,sunlight_hours,previous_crop
2.0,56.0,173.0,38.27,56.27,5.28,239.51,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Organic,23.12,7.1,wheat
59.0,48.0,177.0,15.9,36.75,4.5,64.08,Rabi,Bokaro,Loamy,1900.0,4.0,lentil,Organic,52.48,5.8,millet
90.0,106.0,108.0,29.65,56.24,7.45,39.21,Rabi,Ranchi,Sandy,1600.0,4.0,barley,None,62.54,9.6,groundnut
72.0,94.0,93.0,39.08,39.36,6.93,74.47,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,Urea,72.26,6.4,maize
1.0,71.0,49.0,25.18,27.45,4.79,102.39,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Compost,62.85,4.5,rice
65.0,142.0,152.0,21.25,50.99,6.01,155.42,Rabi,Dhanbad,Loamy,1900.0,4.0,lentil,Organic,68.1,7.7,sugarcane
117.0,122.0,155.0,36.55,53.74,5.53,127.15,Rabi,Dhanbad,Loamy,1500.0,4.0,millet,Urea,40.37,4.7,cotton
80.0,110.0,95.0,27.91,20.68,7.83,89.51,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,Organic,68.89,6.1,maize
87.0,24.0,146.0,38.28,53.36,5.91,270.41,Rabi,Bokaro,Sandy,1600.0,4.0,barley,Organic,24.81,7.0,millet
48.0,132.0,193.0,19.99,71.48,7.99,77.9,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,Compost,73.69,9.2,groundnut
91.0,44.0,204.0,17.67,84.41,7.2,205.76,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,DAP,52.86,7.0,sugarcane
138.0,15.0,128.0,24.28,42.08,8.09,266.68,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,None,69.04,8.2,rice
125.0,51.0,200.0,37.9,39.62,5.39,181.47,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,None,47.14,10.0,rice
108.0,127.0,143.0,15.81,44.31,7.94,237.25,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,Compost,58.61,4.8,cotton
132.0,122.0,85.0,32.23,20.83,5.34,182.68,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,Organic,51.58,5.6,millet
66.0,52.0,145.0,21.57,38.86,8.33,116.07,Rabi,Dhanbad,Loamy,1500.0,4.0,millet,Urea,63.9,6.4,maize
108.0,58.0,112.0,32.52,46.06,7.92,98.3,Kharif,Dhanbad,Sandy,2200.0,4.0,groundnut,Organic,24.9,6.5,wheat
33.0,63.0,30.0,33.02,76.29,6.72,259.77,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,Compost,23.62,6.5,maize
38.0,126.0,7.0,19.42,54.97,8.48,257.83,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,None,34.83,9.4,maize
80.0,129.0,81.0,21.27,80.1,4.69,47.71,Rabi,Dhanbad,Loamy,1900.0,4.0,lentil,Organic,29.57,8.3,rice
55.0,70.0,126.0,35.97,26.74,7.48,92.74,Kharif,Bokaro,Loamy,1800.0,4.0,rice,None,72.31,7.6,wheat
65.0,93.0,10.0,25.29,44.58,7.22,189.56,Rabi,Hazaribagh,Loamy,1900.0,4.0,lentil,Urea,33.15,5.9,wheat
137.0,49.0,204.0,22.12,42.76,6.54,236.93,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,None,78.55,8.9,cotton
97.0,78.0,123.0,30.79,30.14,5.17,246.16,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,None,40.21,9.7,sugarcane
103.0,23.0,25.0,19.05,35.98,5.77,101.58,Rabi,Bokaro,Sandy,1600.0,4.0,barley,DAP,30.93,8.9,lentil
101.0,74.0,118.0,34.52,85.71,7.49,165.86,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,DAP,67.38,4.0,barley
42.0,52.0,10.0,18.13,36.42,5.51,228.29,Rabi,Ranchi,Sandy,1600.0,4.0,barley,DAP,59.52,7.8,barley
42.0,106.0,31.0,17.39,85.58,6.39,35.07,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,None,49.89,4.3,rice
21.0,31.0,72.0,30.45,25.9,8.23,129.16,Rabi,Dhanbad,Loamy,1900.0,4.0,lentil,Compost,53.32,5.5,lentil
72.0,118.0,165.0,18.16,56.87,5.18,29.84,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,None,63.15,4.4,sugarcane
121.0,124.0,143.0,38.37,58.4,5.04,285.58,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,Compost,33.71,7.6,lentil
116.0,116.0,139.0,30.99,57.36,8.14,154.86,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,Compost,79.78,8.1,cotton
113.0,83.0,98.0,25.31,30.9,4.54,166.53,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,DAP,78.49,4.7,maize
73.0,125.0,141.0,15.21,84.55,8.29,153.58,Rabi,Ranchi,Loamy,1500.0,4.0,millet,Organic,59.02,6.3,rice
74.0,64.0,6.0,28.71,33.2,8.03,142.39,Rabi,Dhanbad,Sandy,1600.0,4.0,barley,Urea,31.97,6.7,wheat
99.0,101.0,61.0,21.57,49.56,5.46,234.07,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,DAP,60.81,6.2,rice
72.0,141.0,73.0,25.32,79.74,5.23,101.09,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,DAP,24.33,4.7,barley
115.0,74.0,184.0,30.57,33.15,4.58,33.9,Rabi,Hazaribagh,Loamy,2100.0,4.0,chickpea,Organic,21.84,6.5,sugarcane
47.0,31.0,77.0,21.73,70.06,7.41,85.19,Kharif,Dhanbad,Loamy,1800.0,4.0,rice,Urea,35.46,8.5,lentil
126.0,60.0,92.0,25.51,75.0,6.49,123.99,Kharif,Ranchi,Loamy,1800.0,4.0,rice,None,47.76,4.4,sugarcane
20.0,42.0,19.0,21.66,47.47,6.67,70.85,Rabi,Bokaro,Loamy,1500.0,4.0,millet,None,72.1,4.5,cotton
3.0,36.0,201.0,32.87,46.94,8.4,89.21,Rabi,Ranchi,Sandy,1600.0,4.0,barley,DAP,63.63,6.1,rice
117.0,29.0,138.0,31.65,34.59,6.06,289.14,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,Urea,64.56,9.7,millet
10.0,145.0,138.0,18.05,53.69,5.7,120.92,Kharif,Ranchi,Clayey,1700.0,4.0,maize,DAP,45.53,8.0,rice
28.0,65.0,167.0,25.85,21.05,7.68,183.72,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,Compost,40.76,8.1,wheat
2.0,15.0,153.0,34.59,53.27,6.88,123.99,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,DAP,42.26,6.2,rice
40.0,132.0,28.0,32.15,43.69,8.38,232.68,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,DAP,79.26,7.6,groundnut
91.0,44.0,184.0,28.41,27.52,6.45,108.69,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,None,22.41,4.1,cotton
112.0,54.0,10.0,32.23,45.07,5.04,271.63,Rabi,Jamshedpur,Loamy,1500.0,4.0,millet,None,72.02,7.8,chickpea
75.0,143.0,183.0,27.25,59.67,6.67,110.63,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,None,54.72,9.5,cotton
41.0,22.0,140.0,18.88,40.7,5.55,122.79,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,Compost,46.32,7.7,lentil
97.0,52.0,9.0,30.49,45.49,6.98,109.79,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,None,63.52,9.2,chickpea
99.0,53.0,139.0,32.08,73.6,5.12,99.28,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,Urea,49.2,8.3,lentil
28.0,29.0,138.0,31.47,23.06,8.25,70.02,Rabi,Ranchi,Loamy,1500.0,4.0,millet,Organic,72.41,4.7,lentil
27.0,129.0,54.0,17.47,59.97,7.85,204.22,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Urea,74.04,9.4,wheat
65.0,17.0,98.0,20.52,70.25,4.55,277.89,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,Urea,45.3,4.4,wheat
119.0,20.0,97.0,28.95,85.68,6.16,123.34,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,None,36.61,7.2,maize
68.0,140.0,15.0,33.36,78.41,4.81,80.45,Rabi,Hazaribagh,Loamy,2100.0,4.0,chickpea,Organic,55.54,4.9,barley
25.0,64.0,141.0,24.63,33.52,7.13,179.61,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,Organic,74.74,4.1,maize
106.0,32.0,201.0,30.97,45.06,6.33,206.27,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,Organic,32.64,6.5,maize
46.0,145.0,107.0,27.62,66.03,6.64,187.98,Kharif,Bokaro,Clayey,1700.0,4.0,maize,Compost,57.38,5.8,barley
140.0,88.0,100.0,25.31,64.33,7.8,110.57,Rabi,Dhanbad,Loamy,1500.0,4.0,millet,None,57.89,6.9,millet
139.0,59.0,101.0,34.14,84.83,5.52,289.26,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,Organic,63.99,7.5,chickpea
0.0,13.0,77.0,29.89,56.23,8.47,104.52,Rabi,Bokaro,Sandy,1600.0,4.0,barley,Compost,27.89,4.3,sugarcane
54.0,85.0,10.0,34.29,86.03,7.79,277.35,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,DAP,62.95,4.7,maize
39.0,29.0,14.0,26.51,30.93,5.56,269.1,Rabi,Dhanbad,Loamy,1900.0,4.0,lentil,DAP,74.54,7.4,rice
65.0,81.0,28.0,29.26,59.83,5.37,41.62,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,Compost,30.78,6.1,rice
44.0,129.0,181.0,32.57,77.37,4.88,199.83,Kharif,Ranchi,Sandy,2200.0,4.0,groundnut,Compost,34.25,8.4,lentil
97.0,25.0,204.0,16.4,73.96,5.89,248.8,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,None,78.28,7.9,barley
58.0,7.0,167.0,34.44,46.77,5.72,31.53,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,None,30.86,9.1,lentil
38.0,88.0,133.0,32.44,30.72,7.19,299.26,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,DAP,71.26,8.2,groundnut
129.0,28.0,61.0,25.8,75.05,5.09,114.13,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,Organic,49.54,6.6,groundnut
12.0,145.0,107.0,21.56,47.9,6.24,215.4,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,DAP,34.83,8.0,sugarcane
50.0,129.0,106.0,31.31,33.73,6.96,225.99,Kharif,Dhanbad,Sandy,2200.0,4.0,groundnut,Organic,72.24,5.7,wheat
18.0,73.0,203.0,25.75,67.93,6.8,51.51,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,Organic,46.72,5.8,wheat
93.0,94.0,53.0,23.02,61.57,4.6,105.35,Rabi,Bokaro,Sandy,1600.0,4.0,barley,None,50.89,8.7,barley
113.0,42.0,117.0,16.12,77.27,5.3,124.67,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Urea,41.55,6.7,barley
13.0,67.0,163.0,38.17,80.81,7.78,23.85,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,Urea,55.58,8.8,maize
115.0,125.0,10.0,23.3,71.8,5.35,173.0,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,Compost,29.81,8.9,groundnut
123.0,41.0,182.0,32.47,21.29,6.83,205.79,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,None,43.46,9.1,maize
43.0,20.0,77.0,20.02,68.76,5.59,150.19,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,Organic,78.16,9.5,wheat
99.0,74.0,174.0,36.3,66.21,7.96,25.34,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Urea,35.49,6.6,chickpea
97.0,135.0,186.0,17.49,42.08,7.97,168.84,Kharif,Dhanbad,Sandy,3500.0,4.0,cotton,Organic,59.4,5.9,chickpea
128.0,122.0,148.0,38.16,21.5,5.49,168.24,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,Urea,39.51,7.5,barley
100.0,45.0,9.0,23.67,44.63,7.0,86.14,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Urea,66.41,6.2,lentil
15.0,70.0,104.0,37.26,77.04,4.62,175.38,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,Urea,27.85,7.6,wheat
38.0,92.0,105.0,31.42,26.15,6.03,288.97,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,None,78.19,8.2,chickpea
106.0,66.0,151.0,18.82,87.94,8.14,112.2,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,DAP,47.23,8.1,wheat
52.0,40.0,153.0,28.53,76.01,7.95,106.52,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,Organic,34.16,6.2,cotton
110.0,42.0,172.0,38.33,84.2,5.77,176.06,Kharif,Ranchi,Clayey,1700.0,4.0,maize,None,24.41,5.0,rice
81.0,42.0,191.0,15.74,42.31,8.39,289.13,Kharif,Bokaro,Clayey,1700.0,4.0,maize,None,30.19,6.6,groundnut
70.0,43.0,204.0,19.7,29.21,4.6,296.07,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,None,51.19,4.9,maize
59.0,64.0,64.0,32.18,45.15,7.25,153.45,Zaid,Hazaribagh,Clayey,3000.0,4.0,sugarcane,None,40.22,9.3,wheat
120.0,100.0,52.0,36.3,54.4,5.05,74.11,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,None,69.73,6.1,rice
3.0,74.0,110.0,20.56,66.99,5.31,77.28,Rabi,Dhanbad,Sandy,1600.0,4.0,barley,Compost,45.85,4.9,cotton
125.0,88.0,122.0,37.19,49.93,7.6,190.22,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,Organic,34.92,4.2,maize
100.0,142.0,139.0,31.03,69.29,4.65,50.61,Rabi,Jamshedpur,Loamy,1500.0,4.0,millet,None,57.03,7.9,wheat
62.0,137.0,142.0,24.89,71.46,6.73,164.52,Kharif,Ranchi,Loamy,1800.0,4.0,rice,Organic,62.41,7.8,barley
74.0,117.0,106.0,37.11,74.16,5.64,66.62,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,Compost,30.02,6.0,rice
13.0,137.0,41.0,26.59,65.23,4.86,160.18,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,Compost,30.06,4.4,maize
139.0,39.0,105.0,25.34,51.56,5.22,185.29,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,Organic,22.2,6.5,wheat
23.0,69.0,87.0,32.29,83.5,7.69,221.14,Kharif,Ranchi,Sandy,2200.0,4.0,groundnut,Urea,64.18,5.9,rice
29.0,120.0,167.0,24.07,56.67,6.04,241.5,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,DAP,59.83,8.1,cotton
40.0,101.0,145.0,24.52,73.78,8.15,178.34,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,Urea,48.48,7.6,wheat
37.0,50.0,201.0,32.8,49.37,5.74,235.22,Kharif,Jamshedpur,Clayey,1700.0,4.0,maize,Urea,70.65,6.2,wheat
46.0,35.0,38.0,39.01,20.25,7.56,23.42,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,Urea,68.34,5.3,wheat
139.0,6.0,160.0,37.07,36.65,6.86,153.2,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,None,55.12,9.9,sugarcane
20.0,6.0,67.0,37.05,39.47,7.01,249.63,Kharif,Dhanbad,Sandy,2200.0,4.0,groundnut,Compost,72.1,6.7,barley
47.0,42.0,19.0,31.33,22.57,7.92,206.76,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Urea,32.35,8.1,cotton
84.0,27.0,17.0,17.72,89.56,5.15,99.63,Zaid,Hazaribagh,Clayey,3000.0,4.0,sugarcane,Compost,26.72,4.8,maize
45.0,121.0,196.0,29.47,85.2,4.87,103.8,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,Organic,36.18,6.9,sugarcane
17.0,114.0,145.0,16.62,52.96,4.99,260.63,Rabi,Bokaro,Sandy,1600.0,4.0,barley,DAP,23.43,4.2,lentil
105.0,139.0,58.0,32.4,62.84,4.94,224.32,Rabi,Hazaribagh,Loamy,1900.0,4.0,lentil,Organic,51.87,7.0,sugarcane
123.0,78.0,114.0,30.22,42.15,6.6,298.61,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,Organic,76.2,9.8,groundnut
127.0,138.0,191.0,30.8,54.48,5.22,190.63,Kharif,Bokaro,Clayey,1700.0,4.0,maize,None,22.36,6.3,groundnut
0.0,35.0,11.0,26.62,75.77,7.45,78.05,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,DAP,27.33,4.2,wheat
105.0,16.0,90.0,23.74,76.42,5.35,199.37,Rabi,Bokaro,Sandy,1600.0,4.0,barley,Organic,47.13,4.2,sugarcane
17.0,83.0,81.0,27.67,42.67,4.52,212.03,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,Organic,76.03,6.3,lentil
7.0,49.0,54.0,23.26,43.66,7.19,276.53,Rabi,Ranchi,Sandy,1600.0,4.0,barley,DAP,38.97,5.0,sugarcane
123.0,44.0,165.0,26.52,80.57,8.08,149.49,Kharif,Jamshedpur,Clayey,1700.0,4.0,maize,DAP,50.43,4.1,barley
133.0,81.0,149.0,33.12,42.09,6.64,78.31,Kharif,Bokaro,Loamy,1800.0,4.0,rice,Organic,22.49,8.5,barley
16.0,43.0,76.0,36.02,43.74,6.0,169.6,Rabi,Dhanbad,Loamy,1500.0,4.0,millet,DAP,28.9,6.8,lentil
99.0,52.0,157.0,17.92,74.76,5.73,260.19,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Organic,79.2,5.7,sugarcane
105.0,27.0,132.0,36.93,46.01,7.82,104.74,Zaid,Hazaribagh,Clayey,3000.0,4.0,sugarcane,Organic,77.91,9.4,rice
44.0,33.0,100.0,34.62,74.45,8.15,144.26,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,None,20.3,4.7,barley
128.0,44.0,53.0,23.5,53.84,8.0,106.9,Kharif,Bokaro,Sandy,2200.0,4.0,groundnut,Urea,77.11,9.7,barley
25.0,137.0,178.0,39.82,34.36,4.65,128.52,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,Organic,58.35,5.9,chickpea
1.0,84.0,16.0,32.18,61.6,4.85,150.73,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,Compost,72.08,9.3,sugarcane
133.0,84.0,10.0,29.44,41.85,8.07,109.85,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,Urea,47.28,7.6,barley
70.0,141.0,86.0,34.32,66.98,5.59,64.1,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,Urea,50.94,9.0,cotton
131.0,31.0,57.0,28.56,58.46,5.58,284.12,Kharif,Bokaro,Loamy,1800.0,4.0,rice,Urea,49.33,9.9,sugarcane
62.0,48.0,23.0,22.78,82.46,6.66,34.2,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,None,60.01,5.7,groundnut
12.0,32.0,103.0,16.34,49.85,5.22,186.91,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Organic,28.38,9.8,chickpea
91.0,84.0,90.0,35.44,69.9,7.18,169.38,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,None,21.8,6.3,barley
33.0,28.0,183.0,26.71,51.89,7.24,218.86,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,Organic,38.48,6.3,chickpea
59.0,62.0,41.0,36.53,63.19,8.15,129.78,Kharif,Bokaro,Sandy,2200.0,4.0,groundnut,None,62.28,6.0,groundnut
116.0,129.0,12.0,16.63,27.9,6.41,256.81,Rabi,Bokaro,Loamy,1500.0,4.0,millet,None,32.11,7.2,lentil
32.0,135.0,31.0,25.14,70.0,4.93,175.72,Rabi,Ranchi,Loamy,1500.0,4.0,millet,Compost,60.41,4.9,lentil
136.0,123.0,107.0,29.76,36.7,5.47,64.53,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,None,78.19,7.3,sugarcane
16.0,92.0,58.0,35.35,61.37,7.64,141.9,Rabi,Bokaro,Sandy,1600.0,4.0,barley,DAP,25.63,7.3,groundnut
60.0,49.0,174.0,31.74,71.76,7.35,254.29,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,Compost,60.36,8.6,millet
118.0,88.0,147.0,17.44,51.17,5.73,133.62,Rabi,Hazaribagh,Loamy,2100.0,4.0,chickpea,None,46.63,9.0,millet
97.0,88.0,131.0,31.12,24.3,5.37,58.9,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,Urea,72.09,6.6,sugarcane
37.0,43.0,120.0,28.28,47.3,6.81,74.79,Kharif,Bokaro,Loamy,1800.0,4.0,rice,DAP,30.63,5.8,wheat
77.0,116.0,188.0,39.56,44.1,4.86,22.27,Zaid,Hazaribagh,Clayey,3000.0,4.0,sugarcane,DAP,61.56,5.6,chickpea
32.0,80.0,20.0,24.23,58.42,4.71,216.94,Rabi,Bokaro,Sandy,1600.0,4.0,barley,DAP,70.29,5.2,chickpea
72.0,12.0,65.0,25.79,61.31,7.0,219.3,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Compost,76.68,4.3,lentil
111.0,144.0,59.0,31.56,53.24,5.25,127.69,Rabi,Bokaro,Sandy,1600.0,4.0,barley,None,60.99,6.1,millet
39.0,78.0,176.0,18.14,20.81,7.09,60.32,Rabi,Jamshedpur,Sandy,1600.0,4.0,barley,None,49.83,5.6,maize
34.0,26.0,40.0,31.06,49.11,6.32,240.9,Rabi,Hazaribagh,Sandy,1600.0,4.0,barley,Urea,57.07,9.8,barley
46.0,121.0,135.0,25.6,77.4,6.04,83.21,Rabi,Jamshedpur,Sandy,1600.0,4.0,barley,Urea,72.13,7.3,barley
1.0,132.0,192.0,20.92,55.12,6.14,172.93,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,DAP,54.24,6.1,barley
9.0,128.0,185.0,24.21,60.62,8.35,42.42,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Urea,21.82,7.5,lentil
119.0,137.0,25.0,28.08,62.7,5.48,196.59,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,Compost,75.86,4.8,groundnut
79.0,18.0,92.0,28.38,20.75,6.32,273.7,Rabi,Hazaribagh,Loamy,1900.0,4.0,lentil,None,61.37,6.7,rice
107.0,95.0,80.0,22.23,22.47,8.19,229.84,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,DAP,60.59,7.8,millet
15.0,126.0,153.0,19.23,23.61,8.46,246.49,Zaid,Hazaribagh,Clayey,3000.0,4.0,sugarcane,Urea,32.94,6.9,millet
73.0,129.0,26.0,18.17,25.38,7.64,90.57,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Compost,59.53,6.4,maize
70.0,70.0,8.0,33.54,62.27,8.14,226.91,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,Compost,43.63,10.0,chickpea
44.0,71.0,205.0,32.52,53.94,7.7,261.36,Rabi,Bokaro,Loamy,1500.0,4.0,millet,Urea,59.07,9.3,wheat
37.0,44.0,131.0,33.82,48.91,6.03,204.99,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,None,26.4,7.7,sugarcane
88.0,18.0,169.0,21.61,77.37,4.71,149.92,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,Urea,59.47,7.4,chickpea
121.0,141.0,64.0,24.5,69.39,6.4,60.64,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,DAP,79.96,7.7,groundnut
73.0,119.0,102.0,31.96,87.32,7.23,31.48,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Urea,22.89,5.2,sugarcane
110.0,74.0,90.0,21.76,76.16,5.52,183.57,Rabi,Jamshedpur,Loamy,1500.0,4.0,millet,Compost,78.63,6.4,millet
49.0,138.0,91.0,31.94,89.53,5.75,22.96,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,Urea,44.41,4.2,groundnut
3.0,110.0,30.0,28.13,67.98,5.91,223.07,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,None,72.25,6.9,sugarcane
8.0,11.0,163.0,17.3,85.7,7.13,253.93,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Organic,66.94,7.3,maize
30.0,27.0,159.0,18.25,65.95,8.1,178.5,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,Urea,54.02,5.4,maize
47.0,69.0,80.0,26.67,85.53,7.06,278.35,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,None,64.31,9.8,cotton
82.0,70.0,46.0,34.52,39.41,4.75,128.81,Rabi,Ranchi,Sandy,1600.0,4.0,barley,None,72.71,9.5,rice
67.0,50.0,117.0,16.73,88.56,5.3,129.94,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,Compost,44.25,8.3,maize
36.0,143.0,201.0,25.78,62.98,4.92,143.64,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,None,39.62,7.2,millet
8.0,23.0,23.0,29.28,37.54,6.28,271.02,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,None,60.06,9.2,wheat
9.0,104.0,73.0,18.79,43.09,6.07,21.04,Kharif,Jamshedpur,Loamy,1800.0,4.0,rice,None,68.47,4.8,barley
111.0,108.0,191.0,34.52,74.98,6.66,20.93,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,None,65.74,8.7,cotton
137.0,96.0,90.0,32.05,48.04,7.03,288.47,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,DAP,67.87,4.7,barley
136.0,92.0,25.0,36.03,73.23,5.66,76.87,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,DAP,46.13,8.8,rice
98.0,53.0,81.0,32.4,82.75,7.02,120.59,Kharif,Ranchi,Loamy,1800.0,4.0,rice,Compost,69.07,5.7,sugarcane
48.0,40.0,14.0,19.83,70.38,6.87,156.99,Kharif,Ranchi,Sandy,2200.0,4.0,groundnut,Urea,27.21,9.3,lentil
78.0,132.0,141.0,39.12,76.82,8.37,24.6,Rabi,Bokaro,Loamy,1900.0,4.0,lentil,None,52.67,9.7,maize
86.0,15.0,108.0,17.95,76.5,7.17,148.34,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Urea,20.35,4.9,wheat
59.0,23.0,14.0,33.39,54.22,4.58,274.01,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,Urea,39.48,6.8,rice
62.0,38.0,8.0,19.31,23.5,5.73,242.24,Kharif,Jamshedpur,Loamy,1800.0,4.0,rice,Compost,41.99,9.9,barley
43.0,21.0,32.0,17.85,61.65,6.96,37.67,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,None,43.77,6.9,cotton
86.0,107.0,88.0,18.02,67.89,6.68,110.05,Rabi,Dhanbad,Sandy,1600.0,4.0,barley,None,61.73,9.2,maize
44.0,90.0,21.0,18.02,29.89,6.16,214.96,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Organic,43.31,7.5,millet
112.0,67.0,153.0,16.02,27.0,7.89,191.48,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,Urea,46.92,6.3,maize
124.0,25.0,6.0,15.18,84.83,7.33,186.24,Kharif,Bokaro,Loamy,1800.0,4.0,rice,Urea,34.25,5.7,cotton
